English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
,,,uppala,,ala,𐌰𐌻𐌰𐌽,alaną
,,alarich,,,,𐌰𐌻𐌰𐍂𐌴𐌹𐌺𐍃,alarīks
elsin,els,alesne,,,,𐌰𐌻𐌹𐍃𐌽𐌰,alasnō
elt,,,älta,ælte,elta,,alatjaną
,,,,,alvaldur,,alawaldô
awl,,,,,alur,,alaz
,,,,,alþjóð,,alaþeudō
,,elbe,älv,elv,elfur,,albī
elgar,,,,,álfgeir,,albigaizaz
,,,alvar,,álfar,,albiharjaz
elvet,elft,,,,álft,,albits
elf,alf,alb,älva,elv,álfur,,albiz
old,oud,alt,,,aldinn,𐌰𐌻𐌸𐌴𐌹𐍃,aldaz
,,,,,elda,,aldijaną
,,,,old,öld,𐌰𐌻𐌳𐍃,aldiz
,,,ålle,,alda,,aldǭ
alderman,,alter,ålder,alder,aldur,,aldrą
,,,,,elgja,,algijaną
,,,älg,elg,elgur,,algiz
,,,,,,𐌰𐌻𐌷𐍃,alhs
elbow,elleboog,ellenboge,almboge,albue,olnbogi,,alinabugô
ell,el,elle,aln,alen,alin,,alinō
,,,,,,𐌰𐌻𐌴𐌹𐌽𐌰,alīnō
,,,älska,elske,elska,,aliskōną
alder,els,erle,,el,elri,,alizō
ellen,,,,,elja,𐌰𐌻𐌾𐌰𐌽,aljaną
elne,,,,,elna,𐌰𐌻𐌾𐌰𐌽𐍉𐌽,aljanōną
,elders,,,,,𐌰𐌻𐌾𐌰𐍂,aljar
else,,,eller,eller,ellar,𐌰𐌻𐌾𐌹𐍃,aljaz
,,,alka,alke,álka,,alkǭ
all,al,all,all,al,allur,𐌰𐌻𐌻𐍃,allaz
ale,aal,,öl,øl,öl,,alu
eld,oude,älte,,ælde,elli,,alþį̄
eldest,,ältesten,äldst,ældst,elstur,,alþistaz
elder,,eltern,äldre,ældre,eldri,𐌰𐌻𐌸𐌹𐌶𐌰,alþizô
,ambacht,,,,ambátt,𐌰𐌽𐌳𐌱𐌰𐌷𐍄𐍃,ambahtaz
,ambt,amt,ämbete,embede,embætti,𐌰𐌽𐌳𐌱𐌰𐌷𐍄𐌹,ambahtiją
,ambachten,,,,embætta,𐌰𐌽𐌳𐌱𐌰𐌷𐍄𐌾𐌰𐌽,ambahtijaną
,,amen,,,,,ambô
ammer,,ammer,,,,,amliz
,amme,amme,amma,amme,amma,,ammǭ
,,,,,ama,,ammōną
,amper,,amper,amper,apur,,ampraz
,,,ås,ås,ás,𐌰𐌼𐍃,amsaz
on,aan,an,å,å,á,𐌰𐌽𐌰,an
on-,aan-,an-,,,á-,𐌰𐌽𐌰-,ana-
,,,,,,𐌰𐌽𐌰𐌱𐌹𐌿𐌳𐌰𐌽,anabeudaną
,,,,,,𐌰𐌽𐌰𐌱𐌿𐍃𐌽𐍃,anabūsniz
ande,,ahnd,ande,ånde,andi,,anadô
and,,ahnden,andas,ånde,anda,,anadōną
ende,eend,ente,and,and,önd,,anadz
onhand,,,,,áhendur,,anahandijaz
onlay,aanleggen,anlegen,ålägga,,leggja á,𐌰𐌽𐌰𐌻𐌰𐌲𐌾𐌰𐌽,analagjaną
,,,,,,𐌰𐌽𐌰𐌽,ananą
an-,ont-,ent-,,,and-,𐌰𐌽𐌳𐌰-,anda-
unbind,ontbinden,entbinden,,,,𐌰𐌽𐌳𐌱𐌹𐌽𐌳𐌰𐌽,andabindaną
,,,,,,𐌰𐌽𐌳𐍃𐌰𐌺𐌰𐌽,andasakaną
,,,,,,𐌰𐌽𐌳𐍃𐍄𐌰𐌽𐌳𐌰𐌽,andastandaną
,,,assar,adser,össur,,andaswaraz
answer,,,ansvara,ansvare,andsvara,,andaswarjaną
answer,,,ansvar,ansvar,andsvar,,andaswarō
,,,,,,𐌰𐌽𐌳𐍅𐌰𐌹𐍂𐌸𐍃,andawardaz
,,antlitz,anlete,anled,andlit,,andawlitją
,antwoord,antwort,,,andyrði,𐌰𐌽𐌳𐌰𐍅𐌰𐌿𐍂𐌳𐌹,andawurdiją
,antwoorden,antworten,,,,𐌰𐌽𐌳𐍅𐌰𐌿𐍂𐌳𐌾𐌰𐌽,andawurdijaną
and,en,und,än,end,enn,,andi
endless,eindeloos,endlos,ändlös,endeløs,endalaus,𐌰𐌽𐌳𐌹𐌻𐌰𐌿𐍃,andijalausaz
end,einde,ende,ände,ende,endir,𐌰𐌽𐌳𐌴𐌹𐍃,andijaz
end,,enden,,ende,enda,,andijōną
,,entrisch,,,endur,,andiz
,,,,,öndur,,anduraz
anger,,,ånger,,angur,,angazaz
ing,eng,,äng,eng,eng,,angijō
,,ange,,ange,angi,𐌰𐌲𐌲𐌰,angô
,,anger,,,angur,,angraz
angle,angel,angel,angel,,öngull,,angulaz
angle,angel,angel,,,öngull,,angulō
,angst,angst,ångest,,angist,,angustiz
agnail,eng,eng,,,öngur,𐌰𐌲𐌲𐍅𐌿𐍃,anguz
,angen,,,,,,angwāną
,engen,engen,,,öngva,,angwijaną
,acht,acht,,,,,anhtō
,,,,øl,ól,,anhulō
,,anke,,,ekkja,,ankijǭ
ankle,enkel,enkel,,,ökla,,ankulaz
anchor,anker,anker,ankare,anker,akkeri,,ankurô
,,ahn,,,ái,,anô
,,,ås,,,𐌰𐌽𐍃,ansaz
ease,,öse,,,æs,,ansijō
,,,,,ástugur,𐌰𐌽𐍃𐍄𐌴𐌹𐌲𐍃,anstīgaz
,,,,,æsta,,anstijaną
est,,,,ast,ást,𐌰𐌽𐍃𐍄𐍃,anstiz
,,,,,ásleifur,,ansulaibaz
oswald,,answald,,,ásvaldur,,ansuwaldaz
,,,,,ás,𐌰𐌽𐍃𐌿𐍃,ansuz
,,,olof,olaf,ólafur,,anulaibaz
