English,Dutch,German,Swedish,Danish,Icelandic,Gothic,Proto-Germanic
,,,,,,aliːna,aliːnɔː
ɛlbəʊ,ɛləboːx,ɛlənboːgə,almbuːjə,albuː,ɔlnbɔɪjɪ,,alinaβuɣɔːː
ɛl,ɛl,ɛlə,aln,alən,alɪːn,,alinɔː
,,,ɛlska,εlskə,ɛlsga,,aliskɔːnã
ɔːldə,ɛls,ɛɾleː,,ʔel,ɛlɾrɪ,,alizɔː
ɛlən,,,,,ɛlja,aljan,aljanã
ɛlnɪ,,,,,ɛlna,aljanoːn,aljanɔːnã
,ɛldərs,,,,,aljar,aljar
ɛls,,,ɛlər,εlʔʌ,ɛdlar,aljis,aljaz
,,,alka,alkə,aʊlga,,alkɔ̃ː
ɔːl,ɑl,al,al,al,adlʏr,alls,allaz
eɪl,aːl,,øːl,ʔœl,œːl,,alu
,,,,,,alhs,alxs
ɛld,ʌʊdə,ɛltə,,εlə,ɛdlɪ,,alθĩː
ɛldɪst,,ɛltəstən,ɛldst,εlst,ɛlsdʏr,,alθistaz
ɛldə,,ɛltɜn,ɛldrə,εldʁʔʌ,ɛldərɪ,alθiza,alθizɔːː
,ɑmbɑxt,,,,ambaʊhd,andbahts,ambaxtaz
,ɑmpt,amt,ɛmbətə,εmbeðə,ɛmbaɪhdɪ,andbahti,ambaxtijã
,ɑmbɑxtən,,,,ɛmbaɪhda,andbahtjan,ambaxtijanã
,,amən,,,,,ambɔːː
amə,,amɜ,,,,,amliz
,ɑmə,amə,ama,ɑmə,amma,,ammɔ̃ː
,,,,,aːma,,ammɔːnã
,ɑmpər,,ampər,ɑmpʔeɐ̯,aːbʏr,,ampraz
,,,oːs,ɒs,aʊːs,ams,amsaz
ɒn,aːn,an,oː,ɒ,aʊː,ana,an
ɒn,aːn,an,,,aʊː,ana-,ana-
and,,ɑːnt,andə,ʔʌnə,andɪ,,anaðɔːː
and,,ɑːndən,andas,ʔʌnə,anda,,anaðɔːnã
ɛnd,eːnt,ɛntə,and,an,œnd,,anaðz
ɒnleɪ,aːnlɛɣən,anleːgən,oːləga,,lɛgja aʊː,analaɣjan,analaɣjanã
,,,,,,anan,ananã
ɒnhand,,,,,aʊːhɛndʏr,,anaxandijaz
,,,,,,anaβiuðan,anaβeuðanã
,,,,,,anaβusns,anaβuːsniz
an,ɔnt,ɛnt,,,and,anda-,anda-
,,,,,,andsakan,andasakanã
,,,,,,andstandan,andastandanã
,,,asar,aðsʔʌ,œssʏr,,andaswaraz
ansə,,,ansvɑːra,ansʋɑɑ,andsʋaɾra,,andaswarjanã
ansə,,,ansvɑːr,ansʋɑ,andsʋar,,andaswarɔː
,,,,,,andwɛːrθs,andawardaz
,,antlɪts,anlətə,anlʔeð,andlɪd,,andawlitjã
,ɑntʋɔːrt,antvɔɾt,,,andɪrðɪ,andawɔːrdi,andawurdijã
,ɑntʋɔːrdən,antvɔɾtən,,,,andwɔːrdjan,andawurdijanã
ʌnbaɪnd,ɔntbɪndən,ɛntbɪndən,,,,andbindan,andaβindanã
and,ɛn,ʊnt,ɛn,εn,ɛn,,andi
ɛndləs,ɛɪndəloːs,ɛntloːs,ɛndløːs,εnəlʔœs,ɛndaløʏs,andilɔːs,andijalausaz
ɛnd,ɛɪndə,ɛndə,ɛndə,εnə,ɛndɪr,andiːs,andijaz
ɛnd,,ɛndən,,εnə,ɛnda,,andijɔːnã
,,ɛntɾɪʃ,,,ɛndʏr,,andiz
,,,,,œndʏr,,anduraz
aŋgə,,,ɔŋər,,aʊŋgʏr,,aŋgazaz
ɪŋ,ɛŋ,,ɛŋ,εŋ,eɪŋg,,aŋgijɔː
,,aŋə,,ɑngə,aʊɲɟɪ,aŋga,aŋgɔːː
,,aŋɜ,,,aʊŋgʏr,,aŋgraz
aŋgəl,ɑŋəl,angɛl,aŋəl,,øʏŋgʏtl,,aŋgulaz
aŋgəl,ɑŋəl,angɛl,,,øʏŋgʏtl,,aŋgulɔː
,ɑŋst,aŋst,ɔŋəst,,aʊɲɟɪsd,,aŋgustiz
agneɪl,ɛŋ,ɛŋ,,,øʏŋgʏr,aŋgwus,aŋguz
,ɑŋən,,,,,,aŋgʷaːnã
,ɛŋən,ɛŋən,,,øʏŋgʋa,,aŋgʷijanã
,,aŋkə,,,ɛhca,,ankijɔ̃ː
aŋkəl,ɛŋkəl,ɛnkəl,,,œgla,,ankulaz
aŋkə,ɑŋkər,aŋkɜ,aŋkarə,ɑnkʔʌ,ahɟɛːɾrɪ,,ankurɔːː
,,ɑːn,,,aʊːɪ,,anɔːː
,,,oːs,,,ans,ansaz
iːz,,øːzə,,,aɪːs,,ansijɔː
,,,,,aʊsdʏɣʏr,anstiːɣs,anstiːɣaz
,,,,,aɪsda,,anstijanã
iːɛstiː,,,,ast,aʊsd,ansts,anstiz
,,,,,aʊsleɪʋʏr,,ansulaiβaz
ɒswəld,,ansvalt,,,aʊːsʋaldʏr,,ansuwaldaz
,,,,,aʊːs,ansus,ansuz
,,,uːluːf,ʔolaf,oʊːlaʋʏr,,anulaiβaz
,ɑxt,axt,,,,,anxtɔː
,,,,ʔœl,oʊːl,,anxulɔː
ʌðə,ɑndər,andərɜ,anan,anən,annar,anθar,anθeraz
,,,ɛnə,,ɛnnɪ,,anθijã
,,,,,œnd,,anθɔː
,,,ɑːpəl,abʔil,,,apaldraz
,,,ɛplə,ɛblə,ɛblɪ,,apalijã
apəl,ɑpəl,apfəl,,,,,aplaz
apəl,ɑpəl,apfəl,,,,,apluz
eɪp,aːp,afə,ɑːpa,abə,aːbɪ,,apɔːː
,,ɑːbɜ,,,,aɸar,aɸerã
,aːvər,,,,,aɸara,aɸerɔːː
,,,ɑːvəl,ɑwl,abl,,aɸlã
,,,,,abl,,aɸlaz
,,,,ɑwlə,abla,,aɸlɔːnã
